Name,Ingredients,Seasoning,Marinade,Sauce Mix
air-fryer-xo-fish-balls-in-honey,['10 oz. fish paste'],"['3 ½ Tbsp. Lee Kum Kee XO Sauce (oil removed)', '2 Tbsp. honey']",[],[]
beef-and-broccoli-stir-fry,"['1 lb. broccoli florets', '1 lb. flank steak', '2 Tbsp. vegetable oil', '2 ea. garlic cloves, minced', '2 cups rice for serving (optional)', 'sesame seeds, for garnish (optional) ', 'cilantro, for garnish (optional) ', 'scallion, for garnish (optional)  ', 'microgreens, for garnish (optional)']",[],"['1 tsp. baking soda    ', '1 tsp. cornstarch    ', '1 Tbsp. Lee Kum Kee Panda Brand Cooking Soy Sauce      ', '1 tsp. Lee Kum Kee Pure Sesame Oil']","['2 oz. Lee Kum Kee Panda Brand Oyster Flavored Sauce', '2 tsp. Chinese rice wine (or white wine)', '1 tsp. Lee Kum Kee Chicken Bouillon ', '1/3 cup water', '1 tsp. cornstarch']"
beef-and-broccoli-stir-fry,"['1 lb. broccoli florets', '1 lb. flank steak', '2 Tbsp. vegetable oil', '2 ea. garlic cloves, minced', '2 cups rice for serving (optional)', 'sesame seeds, for garnish (optional) ', 'cilantro, for garnish (optional) ', 'scallion, for garnish (optional)  ', 'microgreens, for garnish (optional)']",[],"['1 tsp. baking soda    ', '1 tsp. cornstarch    ', '1 Tbsp. Lee Kum Kee Panda Brand Cooking Soy Sauce      ', '1 tsp. Lee Kum Kee Pure Sesame Oil']","['2 oz. Lee Kum Kee Panda Brand Oyster Flavored Sauce', '2 tsp. Chinese rice wine (or white wine)', '1 tsp. Lee Kum Kee Chicken Bouillon ', '1/3 cup water', '1 tsp. cornstarch']"
spicy-yuzu-tamago-sando-recipe,"['Water, for boiling', '6 large eggs', 'Ice water bath, for cooling the eggs', '8 slices milk bread (shokupan or soft white bread)', '2 Tbsp. unsalted butter, softened', 'Chives, chopped, for garnish']",['2 Tbsp. Lee Kum Kee Yuzu Flavored Sriracha Sauce'],[],[]
spicy-creamy-pasta-recipe-with-rose-pasta-sauce,"['12 oz. Casarecce, Cascatelli, or Radiatori pasta (or pasta of choice)', '1 Tbsp. olive oil', '1 lb. boneless skinless chicken breast, cut into bite-size pieces', '1 tsp. salt', '½ tsp. black pepper', '1 tsp. Lee Kum Kee Minced Garlic', '2 Tbsp. shallot, minced', '1 cup marinara sauce', '¾ cup heavy cream', '1 cup mozzarella cheese, shredded', '½ cup Parmesan cheese, grated', '2 Tbsp. fresh parsley, finely chopped']",['2 Tbsp. Lee Kum Kee Lee Kum Kee Sriracha Chili Sauce'],[],[]
chili-crisp-sourdough-recipe-with-cheddar-and-scallions,"['1 cup active sourdough starter', ' 1 ¼ cups warm water', ' 3 ½ cups bread flour', ' 1 ½ tsp. salt', ' 1 cup sharp cheddar cheese, shredded', ' 3 stalks scallions, thinly sliced', ' 3 Tbsp. unsalted butter, softened']","['3 Tbsp. Lee Kum Kee Chili Crisp Original, 2 for mixing and 1 for garnish']",[],[]
tuna-melt-recipe-with-korean-spicy-tuna,"['2 (5 oz.) cans spicy tuna, drained', '2 Tbsp. green onions, finely sliced (about 1 stalk)', '½ cup shredded cheddar cheese', '2 Tbsp. butter, softened', '8 slices sourdough bread']","['3 Tbsp. Lee Kum Kee Sriracha Mayo Dressing/Spread', '1 tsp. Lee Kum Kee Pure Sesame Oil', '1 tsp. Lee Kum Kee Minced Garlic']",[],[]
dumpling-lasagna-recipe-with-kimchi-and-pork,"['12 oz. ground pork', '2 Tbsp. finely chopped kimchi, plus extra for garnish', '2 Tbsp. green onions, finely chopped', '¼ tsp. black pepper', '16 round dumpling wrappers', '½ cup water', '1 tsp. toasted sesame seeds']","['1 Tbsp. Lee Kum Kee Panda Brand Oyster Flavored Sauce ', '1 tsp. Lee Kum Kee Minced Garlic', '1 tsp. Lee Kum Kee Minced Ginger', '1 tsp. Lee Kum Kee Pure Sesame Oil', '1 Tbsp. Lee Kum Kee Chiu Chow Style Chili Crisp Oil', '1 Tbsp. Lee Kum Kee Premium Soy Sauce']",[],[]
pancit-noodles-recipe-by-chef-tiana-gee,"['8 oz. rice noodles (or bihon), soaked and drained', '1 Tbsp. neutral oil', '2 Tbsp Lee Kum Kee Minced Garlic', '1 small onion, sliced', '1/2 lb. chicken breast, sliced', '1 cup cabbage, shredded', '1/2 cup carrots, julienned', '1/2 cup snap peas or green beans', '1 1/2 cups chicken broth', '1 large egg per serving (about 3-4 eggs) ', 'Green onions, for garnish ', 'lemon wedges, for garnish']","['¼ cup Lee Kum Kee Premium Soy Sauce', '¼ cup Lee Kum Kee Premium Dark Soy Sauce', '3 Tbsp. Lee Kum Kee Premium Oyster Sauce', 'Salt and Black pepper, to taste', '1 Tbsp. Lee Kum Kee Chili Crisp Original per egg you are frying (3-4 total)']",[],[]
southern-style-fried-chicken-recipe-with-chili-crisp,"['2 lb bone-in chicken thighs and drumsticks', '1½ cups all-purpose flour', '½ cup cornstarch', '1 tsp. baking powder', 'neutral oil, for frying', 'chopped green onion, for garnish']",['1 (7 oz.) jar Lee Kum Kee Chili Crisp Original'],"['2 tsp. kosher salt', '1 tsp. black pepper', '1 tsp. paprika', '½ tsp. garlic powder', '1 cup buttermilk']",[]
