Name,Ingredients,Procedure,Nutrition_Facts
thai-fish-cakes,"['1 pound white fish fillet , cut into 1-inch (2.5-cm) pieces (Footnote 1)', '2.6 ounces red curry paste', '2 large egg whites', '1 tablespoon fish sauce (or soy sauce if you don’t like fish sauce)', '1 tablespoon sugar', '1 cup thinly sliced green beans (*Footnote 2) (Optional)', 'Vegetable oil for frying (*Footnote 3)', 'Lime wedges  , for serving', '1/2 cup Thai sweet chili sauce', '1 Persian cucumber , seeded and small diced ', '2 tablespoons roasted peanuts , chopped', '2 tablespoons cilantro , minced', '1 teaspoon fish sauce']","['Fish cake:', 'Combine the fish, curry paste, egg whites, fish sauce, and sugar in a food processor. Pulse a few times, to mix until it forms a smooth, thick, and sticky paste, 2 minutes or so. Once finished, poke the fish paste with a spoon. It should be firm, elastic, and springy. Transfer the fish paste into a big bowl.', 'Fold the green beans into the paste using a spatula.', 'Heat 1/2-inch oil in a small deep pot over medium heat until hot (*Footnote 4).', 'Work on the fish cakes in batches. Use a cookie scoop to transfer a ball of 2 tablespoons of fish paste onto an oiled spatula. Then use the back of another spatula or a large spoon to flatten the ball into a 1/4-inch (1/2-cm) thick disc. Gently slide the fish cake into the pan. Fry until the bottom side turns golden, about 30 to 40 seconds. Flip and cook the other side until golden. The whole process should take about 1 minute. (*Footnote 5) To test doneness, transfer a fish cake onto a plate and poke it with a toothpick. You should feel the bouncy resistance and the toothpick should come out clean.', 'Sauce', 'Mix all the sauce ingredients in a small bowl right before serving.', 'Serve the hot fish cake with dipping sauce as an appetizer, or serve them on top of rice or noodles as a main. Enjoy!', 'You can store the cooked fish cakes in the fridge for a couple days, or in the freezer for up to 3 months. One note: do not refrigerate the uncooked fish paste. I did it once, and fried fish cakes made from day-old fish paste and it resulted in a tough and grainy texture. I had to put it back into the food processor and beat two more egg whites into it to get the texture fluffy again.']","['Serving: 1of the 6 servings', 'Calories: 308kcal', 'Carbohydrates: 21.8g', 'Protein: 16.3g', 'Fat: 16.5g', 'Saturated Fat: 3.9g', 'Cholesterol: 61mg', 'Sodium: 1053mg', 'Potassium: 371mg', 'Fiber: 1.5g', 'Sugar: 10.9g', 'Vitamin A: 15IU', 'Vitamin C: 9mg', 'Calcium: 4mg', 'Iron: 12mg']"
budae-jjigae,"['1 tablespoon peanut oil (or vegetable oil)', '1/2 lb ground beef (ground chicken or turkey works as well', '3 green onions , chopped', '2 cloves garlic , minced', '1 cup kimchi', '2 tablespoons Gochujang spicy Korean chili paste', '4 cups chicken stock', '2 tablespoons dry sherry (or rice wine)', '1 tablespoon soy sauce', '1 tablespoon sugar', '1  block tofu  , cubed', '1/2 lb white mushrooms , sliced', '1/2 lb  sausage of your choice and/or Spam , sliced (I used both)', '2 heads baby bok choy , quartered (or 2 cups thinly sliced cabbage)', '2 packs instant noodles', '2 eggs (Optional)']","['Heat oil in a 4-quart dutch oven (or heavy pot) over medium-high heat until hot. Add the ground meat. Cook and break apart the meat with your spatula, until the meat is mostly cooked through and the surface is lightly charred.', 'Add the green onions, garlic, and kimchi. Stir and cook for 1 minute.', 'Add the Gochujang. Stir and cook to coat everything well, 30 seconds or so.', 'Pour in the chicken stock and use your spatula to scrape the brown bits off the bottom of the pot. Add the dry sherry, soy sauce, sugar, tofu, and mushrooms. Turn to medium or medium-low heat. Simmer, covered, until the mushrooms are cooked, 5 minutes or so.', 'Add the sausage and Spam. Cook for another 5 minutes.', 'Add the baby bok choy, Instant noodles, and eggs. Cook covered until the noodles turn tender and the veggies are cooked.', 'Serve hot as a main dish.']","['Serving: 4servings', 'Calories: 522kcal', 'Carbohydrates: 26.6g', 'Protein: 39.1g', 'Fat: 29.1g', 'Saturated Fat: 8.3g', 'Cholesterol: 195mg', 'Sodium: 1353mg', 'Potassium: 841mg', 'Fiber: 2.1g', 'Sugar: 10.1g', 'Calcium: 120mg', 'Iron: 15.3mg']"
drunken-chicken,"['2 bone-in skin-on chicken leg quarters (includes thighs) (*Footnote 1)', '1 1/2 teaspoons salt', '1/4 teaspoon ground Sichuan peppercorns', '2 teaspoons Shaoxing wine', '1 green onion , smashed', '3 slices ginger', '2 cups water', '1 “   ginger , sliced', '1 green onion , coarsely chopped', '1 star anise', '3 dried jujubes (Optional)', '15 goji berries (Optional)', '1 teaspoon salt', '1 teaspoon sugar', '1/2 cup Shaoxing wine', 'Chopped green onion for garnish']","['Combine the salt and Sichuan peppercorns in a small pan. Toast over medium-low heat, shaking the pan occasionally, until fragrant, about 5 minutes. Transfer to a small plate to cool.', 'Debone the chicken legs (see the step-by-step guide above in the blog post), setting the bones aside for the stock. Using the back of the knife to pound the thick part of the meat so that it is an even thickness.', 'Sprinkle the toasted salt and Sichuan peppercorns over the chicken legs. Top with the Shaoxing wine, green onion, and ginger. Use your hand to gently massage the seasonings in and set aside for 15 minutes.', 'Use a cleaver or strong knife to chop the leg bones in half (Optional, to release more flavor). Add them to a small pot with the water, ginger, green onion, star anise, and jujubes.', 'Heat over medium-high heat until bringing to a boil, then reduce to medium-low heat. Simmer for 30 minutes, skimming the foam from the top occasionally. Transfer the stock to a heat proof container once done.', 'Add the goji berries, salt, sugar, and Shaoxing wine. Stir until the sugar and salt are fully dissolved. Place the stock in the fridge to cool down completely.', 'After the chicken has marinated, roll each leg into a tight log, skin side out.', 'Place the rolled chicken leg on a piece of aluminum foil. Wrap the leg with the foil to seal it completely.', 'Set up a steamer by adding water to the pot and bringing to a boil over medium-high heat.', 'Place the chicken rolls on the steaming rack and steam over medium-high heat for 15 to 20 minutes, depending on the size of the chicken legs. At the 15-minute mark, check the doneness by inserting a toothpick through the center of the chicken and the juices run clear. Let cook for another 5 minutes if needed.', 'Prepare an ice bath by adding ice and water to a big bowl. Place the cooked chicken rolls into it and let cool completely.', 'Once the chicken rolls and brine are completely cooled, remove the chicken legs from the foil and transfer into a deep container, collecting the juices from the rolls as well.', 'Lay a mesh colander over the container, then strain and pour the brine over the chicken. Add the goji berries back to the chicken, discarding the rest of the solid ingredients. Seal the container and let marinate in the fridge overnight.', 'To serve, slice the chicken into 1/2” (1 cm) pieces, drizzle a small amount of the brine, and garnish with green onions and goji berries. Serve cold or at room temperature as an appetizer.']","['Serving: 1serving', 'Calories: 99kcal', 'Carbohydrates: 3g', 'Protein: 9.9g', 'Fat: 5.1g', 'Saturated Fat: 1.4g', 'Cholesterol: 35mg', 'Sodium: 270mg', 'Potassium: 86mg', 'Sugar: 2g', 'Calcium: 5mg', 'Iron: 1mg']"
matcha-tiramisu,"['2 tablespoons ceremonial grade matcha and extra for dusting', '1 1/2 cups very hot water (*Footnote 1)', '16 oz mascarpone cheese (about 2 cups)', '1/2 cup  sugar', '4 egg yolks', '2 tablespoons dark rum', '1/2 cup heavy cream', '1/4 tsp salt', '14 Ladyfingers']","['To make the matcha soak: Sift matcha into a medium bowl and slowly whisk in hot water, breaking up clumps until all water has been combined and no lumps remain.', 'To make the cream: Add mascarpone cheese, sugar, egg yolks, rum, heavy cream and salt into the bowl of a mixer. Mix with whisk attachment on medium-high speed until medium peak appears, about 5-7 minutes. Be careful to not overmix, or mascarpone will separate.', 'To assemble: Prepare a 9×5” baking dish or a tupperware (This is flexible and you can use a different size container as well). Spread a thin, even layer of cream onto the bottom of the baking dish.', 'Dip ladyfingers, one at a time, into matcha mixture, rolling over 2 to 3 times to saturate. The ladyfingers should start to soften but not become soggy enough to fall apart. (*Footnote 2) Then place them over the cream, snugly, next to each other. Repeat until the first layer of baking dish is filled with ladyfingers.', 'Add about 1/2″ of cream mixture on top of the ladyfingers and spread evenly to cover completely. Repeat with the next layer of ladyfingers and matcha, covering with the remaining cream. Smooth the top layer of cream as evenly as possible.', 'Dust with a thin layer of matcha using a fine mesh strainer.', 'Refrigerate at least 2 hours and ideally overnight before serving.']","['Serving: 1serving', 'Calories: 224kcal', 'Carbohydrates: 25.5g', 'Protein: 7g', 'Fat: 10.8g', 'Saturated Fat: 5.8g', 'Cholesterol: 174mg', 'Sodium: 135mg', 'Potassium: 69mg', 'Fiber: 0.2g', 'Sugar: 12.6g', 'Calcium: 89mg', 'Iron: 1mg']"
clams-in-black-bean-sauce,"['2 lbs manila clams', 'Salt , for soaking the clams', '2 tablespoons vegetable oil', '2 tablespoons Shaoxing Wine', '1 tablespoon Oyster Sauce', '2 shallots  red onion , thinly sliced', '3 scallions (or 1/2 red onion) , sliced to 1” (2.5 cm) pieces, white and green parts separated', '1 ” ginger , julienned', '1 1/2 tablespoon fermented black beans , rinsed', '2 fresno chilis (or other hot peppers, or 1/2 red pepper) , seeds removed and minced  (*Footnote 1)', 'Small handful Cilantro , chopped']","['Place the clams in a large bowl. Add 8 cups cold tap water and 2 tablespoons of salt. Stir to mix well. Soak for 30 minutes to 1 hour before cooking. This process purges the clams of extra grit by mimicking the clams’ natural environment. Right before cooking, transfer the clams to a large colander to drain well.', 'Mix the Shaoxing wine and oyster sauce in a small bowl. Set aside.', 'Heat oil in a large pan or wok over medium-high heat until shimmering Add the shallot, scallion whites, ginger and fermented black beans. Stir and cook for 1 minute, until fragrant.', 'Add the clams and pour the sauce over. Toss to cover the clams in the sauce and aromatics. Cover the pan, and cook until the clams start to open, 1 minute. Uncover the pan. Keep cooking until the clams fully open and the sauce has reduced, 4 to 5 minutes.', 'Add the scallion greens, chili pepper, and the cilantro. Mix again. Discard any clams that have not opened. Serve as an appetizer or main dish.']","['Serving: 1serving', 'Calories: 318kcal', 'Carbohydrates: 43.1g', 'Protein: 3.9g', 'Fat: 15g', 'Saturated Fat: 2.9g', 'Sodium: 2364mg', 'Potassium: 346mg', 'Fiber: 2g', 'Sugar: 17.2g', 'Calcium: 48mg', 'Iron: 1mg']"
chicken-chow-mein,"['6 oz boneless chicken breast or thighs , thinly sliced', '1 tablespoon Shaoxing wine (or dry sherry)', '2 teaspoons cornstarch', '1/4 teaspoon salt', '1/4 cup chicken broth', '2 tablespoons Shaoxing wine (or dry sherry)', '2 tablespoons oyster sauce', '1 tablespoon soy sauce (*Footnote 1)', '2 teaspoons sugar', '1/4 teaspoon white pepper (or ground black pepper)', '1 teaspoon sesame oil', '2 tablespoons peanut oil (or vegetable oil)', '4 cups shredded cabbage (*Footnote 2)', '2 cloves garlic , finely chopped', '1 tablespoon ginger , minced', '10 oz fresh chow mein noodles , or 6 oz (170 g) dried chow mein noodles', '2 small carrots , julienned (yields 1 cup) (*Footnote 2)', '1 anaheim pepper or other hot pepper of your choice , sliced (Optional)', '4 green onions , cut into 2” (5 cm) pieces, white part halved lengthwise']","['Add the chicken along with the marinating ingredients into a medium-sized bowl. Mix well with your hands so the chicken is evenly coated.', 'Combine all the sauce ingredients in a small bowl and stir to mix well.', 'Boil the noodles according to the package instructions until al dente. Rinse with tap water, drain, and set aside. Cook the noodles 1 minute less than the package recommends. If you use fresh chow mein noodles, you will only need to briefly dip the noodles in boiling water, 1 minute or so. Once done, drain the noodles thoroughly and set aside.', 'Heat 1 tablespoon of oil in a large nonstick skillet over medium-high heat until hot. Spread the chicken in the pan with minimal overlap. Cook until the bottom turns slightly golden, 30 to 45 seconds. Flip to cook the other side until the chicken just turns white, 30 to 45 seconds. Transfer the chicken to a plate.', 'Pour in the remaining 1 tablespoons of oil and the ginger, and garlic. Stir a few times to release the fragrance.', 'Add the carrot and cabbage. Cook and stir until the veggies just start to turn soft, 1 minute or so. Add the noodles. Toss a few times with a pair of tongs. Add the cooked chicken. Pour the sauce over the ingredients. Toss with a pair of tongs to mix everything together.', 'Add the pepper and the green onion. Toss well until the sauce is absorbed. Transfer everything to serving plates and serve hot as a main dish.']","['Serving: 1serving', 'Calories: 254kcal', 'Carbohydrates: 29.1g', 'Protein: 13.3g', 'Fat: 10.2g', 'Saturated Fat: 1.6g', 'Cholesterol: 40mg', 'Sodium: 623mg', 'Potassium: 473mg', 'Fiber: 3.7g', 'Sugar: 9.3g', 'Calcium: 58mg', 'Iron: 2mg']"
stir-fried-cauliflower-with-tomato-sauce,"['10 oz Chinese cauliflower florets or regular cauliflower (about 1/2 head cauliflower) (* see footnote 1)', '1 tablespoon peanut oil (or vegetable oil)', '1 tomato , diced', '2 cloves garlic , sliced', '2 tablespoons tomato paste', '2 teaspoons sugar', '1/2 teaspoon salt (or to taste)']","['Prepare a large bowl of water and set aside.', 'Bring a large pot of water to a boil. Add cauliflower and boil for 2 minutes, until the stem is half cooked, without getting too tender. Turn off heat and immediately transfer cauliflower to the bowl of water to cool down. This will stop the cauliflower from continuing to cook and help it stay crisp. Drain the cauliflower thoroughly.', 'Heat oil in a large skillet over medium-high heat until hot. Add the garlic, stir a few times until fragrant.', 'Add the tomato. Stir and cook until the tomatoes are very softened, 4 to 5 minutes. Add tomato paste and mix well. Add sugar accordingly to adjust flavor of sauce (* see footnote 2).', 'Add cauliflower back into the skillet and sprinkle with the salt. Carefully use a spatula to mix everything together, until the cauliflower is fully covered with the tomato sauce and the cauliflower has reached the desired doneness. Adjust the seasoning by adding more salt or sugar if needed. Transfer everything to a plate and serve hot as a main dish.']","['Serving: 1serving', 'Calories: 67kcal', 'Carbohydrates: 8.4g', 'Protein: 2g', 'Fat: 3.5g', 'Saturated Fat: 0.6g', 'Sodium: 30mg', 'Potassium: 339mg', 'Fiber: 2.3g', 'Sugar: 5.1g', 'Calcium: 23mg', 'Iron: 1mg']"
avocado-shrimp-spring-roll,"['12 shrimp , peeled and deveined', '1 teaspoon peanut oil', '8 oz ground pork (beef, or chicken)', '2 teaspoons Shaoxing wine', '1/4 teaspoon salt', '8 (22cm / 8.5”) rice paper wrappers (Footnote 2)', '8 lettuce leaves (iceberg or bibb)', '1 bunch basil , cilantro, mint, and/or chives *(Footnote 3)', '1 avocado , sliced thinly (Optional)', '1 carrot , julienned', '2 tablespoons chinese sesame paste (or natural unsweetened peanut butter)', '1 tablespoon sugar (or maple syrup)', '1 tablespoon soy sauce', '1 1/2 teaspoons chinkiang vinegar (or rice vinegar)', '1 1/1 teaspoons sugar', '2 teaspoons lime juice (or rice vinegar)', '2 teaspoons fish sauce', '2 cloves garlic , minced', '1 to 2 Thai bird’s eye chilis , thinly sliced']","['Prepare the shrimp by boiling a small pot of water with a large pinch of salt. Add the shrimp and cook for about 1 minute, until they turn pink and are fully curled. Once cool, slice the shrimp in half lengthwise and set aside.', 'If using the ground meat, heat the oil in a medium-sized pan until hot. Add the pork. Break it apart to keep the ground chunks small. Stir occasionally as you cook the pork until browned. Sprinkle with salt and add the wine. Keep cooking until all the liquid evaporates and the meat is cooked and chopped into small pieces. Transfer the meat to a plate to cool. (*Footnote 4)', 'Prepare the rest of the ingredients while the proteins are cooling off.', 'If you do not plan to serve the spring rolls the same day, you can now seal all the prepped ingredients in airtight containers and store them in the fridge for up to 2 days.', 'To make the sesame sauce, combine everything in a medium-sized bowl and stir until it forms a smooth paste. If the paste is too thick, add a few drops of water at a time and mix until your desired consistency is reached.', 'To make the Nuoc Cham sauce, combine all the ingredients in a small bowl with 4 teaspoons of water. Depending on the strength of your fish sauce, you may want to add extra water or sugar according to your taste.', 'The sauce can be made ahead and stored in the fridge for up to 2 days.', 'The day you plan to serve the spring rolls, place all the filling ingredients on plates for easy access. Fill a shallow but wide dish with an inch of warm water. (*Footnote 5) You should have a clean working surface like a cutting board that you can spread the rice paper on.', 'Work on the rolls one at a time. Take a rice paper wrapper and pull it through the water slowly 3 or 4 times (rotate the paper if your plate is not enough to fit the whole sheet of paper). You want it to be moist but still a bit stiff, as it will absorb more water as you place your filling on it and will be fully hydrated by the time you roll it up. Lay the moistened wrapper on a flat work surface.', 'To build the roll, work in thirds. Be sure to leave an inch and a half of space on the bottom and top of the wrapper. Also leave 2 inches of wrapper on the edges. (See the step-by-step photos in the blog post above for the folding steps.)', 'On the first third of the wrapper lay a piece of lettuce, then place 1 to 2 tablespoons of cooked ground meat in the center. Fold it so the meat is wrapped in the middle, then place it folded side down.', 'In the middle of the wrapper, lay a few slices of avocado, evenly spaced and at an angle. On top of the avocado, add a layer of carrots and a few herb leaves without the stems.', 'On the top third, place three of the halved shrimp, pink side down and evenly spaced.', 'Take the bottom edge of your wrapper and fold it over the third with the lettuce. Then roll the bottom third over the center. Take both sides and tightly fold them in. Tuck a sprig of the herbs at the edge of the roll, allowing them to poke out of one side. Then continue to roll over the shrimp and press lightly to seal on the remaining loose rice paper.', 'Set the formed spring rolls aside on a plate. Repeat the wrapping with all of the remaining rice wrappers. Make sure to space out the spring rolls, because the rice paper will stick together if the rolls are placed against each other.', 'Serve the spring rolls at room temperature with the dipping sauces. Enjoy!', 'You should always serve the spring rolls the same day you wrap them. If you plan to prepare them in advance, you should prep all the ingredients and wrap the spring rolls when you’re ready to serve. The ingredients will last in the fridge for 1 to 2 days. The wrapped spring rolls will last at room temperature for a couple of hours (half a day). You can place them in a container and make sure to leave some space between the rolls, so they won’t stick together. Avoid storing wrapped spring rolls in the fridge. The rice paper will become tough and the texture not very good.']","['Serving: 1roll', 'Calories: 190kcal', 'Carbohydrates: 14.5g', 'Protein: 16.3g', 'Fat: 7.2g', 'Saturated Fat: 1.7g', 'Cholesterol: 90mg', 'Sodium: 232mg', 'Potassium: 346mg', 'Fiber: 2.3g', 'Sugar: 1.3g', 'Calcium: 43mg', 'Iron: 1mg']"
salt-and-pepper-shrimp,"['1 lb shrimp , peeled and deveined', '1/2 cup cornstarch', '1/4 teaspoon salt', '1/2 teaspoon salt', '1/2 teaspoon white pepper (*Footnote 1)', '1/2 cup vegetable oil', '3 cloves garlic , minced', '2 red chile peppers , sliced (Optional)']","['Dry the shrimp thoroughly with paper towels.', 'Mix the salt and cornstarch in a plate or tray. Add the shrimp. Mix everything together until all the shrimp are lightly coated in the cornstarch.', 'Make the pepper salt by mixing the salt and white pepper together in a small bowl.', 'Heat 1/4” (1/2 cm) of oil in a medium-sized pan over medium-high heat until the oil reaches 375 °F (190 °C). If you do not have a thermometer, drop a tiny pinch of cornstarch into the oil. You should see small bubbles rapidly forming around the cornstarch. (*Footnote 2)', 'Line a baking tray with a wire rack.', 'Add the shrimp one at a time into the pan in a single layer. Use your fingers to grab the tail of the shrimp, shake off the extra cornstarch, and gently lay the shrimp into the oil. You might need to cook the shrimp in batches. Cook each side for about 2 minutes, until the surface turns pale golden and the shrimp are curled. Once done, transfer the cooked shrimp onto the lined baking sheet to drain the extra oil.', 'Once all the shrimp are done cooking, pour the extra oil into a ceramic bowl and only leave about 2 teaspoons of oil in the pan.', 'Add the garlic and chile peppers into the pan. Stir a few times to release the fragrance.', 'Add the shrimp and sprinkle the salt and pepper mixture over them. Toss until the shrimp are evenly coated.', 'Transfer everything to a plate and serve hot as an appetizer or over steamed rice as a main dish.']","['Serving: 1serving', 'Calories: 240kcal', 'Carbohydrates: 12.4g', 'Protein: 26g', 'Fat: 8.8g', 'Saturated Fat: 1.5g', 'Cholesterol: 239mg', 'Sodium: 569mg', 'Potassium: 205mg', 'Fiber: 0.2g', 'Calcium: 108mg', 'Iron: 1mg']"
singapore-noodles,"['7 oz dried rice vermicelli noodles', '1 tablespoon Shaoxing wine (or dry sherry)', '1 tablespoon light soy sauce (or regular soy sauce)', '1 tablespoon oyster sauce (or soy sauce)', '1 tablespoon curry powder', '1/2 teaspoon sesame oil', '1/2 teaspoon salt', '1/2 teaspoon sugar', '1/8 teaspoon white pepper', '2 tablespoons peanut oil (or vegetable oil)', '2 large eggs , beaten', '2 cloves garlic , minced', '2 teaspoons ginger , minced', '1/2 onion , sliced (or shallot)', '8 oz  shrimp , peeled and deveined', '4 oz  Chinese char siu pork (or ground pork) (*Footnote 1)', '1 carrot , julienned', '2 anaheim peppers , thinly sliced (or 1 bell pepper)']","['Cook or soak vermicelli noodles in boiling water according to package instructions until al dente. I like to cook the noodles 1 minute less than the package indicates. Once done, drain and set aside.', 'Combine the sauce ingredients in a small bowl. Stir to mix well.', 'Heat 1/2 tablespoon oil in a large nonstick skillet and heat over medium-high heat. Add the eggs. Cook and scramble the eggs until just cooked through. Transfer to a plate.', 'Add 1 tablespoon of oil and the garlic, ginger and onion. Stir and cook for 1 minute. Move everything to one side of the pan.', 'Pour in the remaining 1/2 tablespoon oil and the char siu pork and shrimp to the other side of the pan. Cook, stirring occasionally, until the shrimp are just cooked through and the char siu is lightly browned, 2 minutes or so.', 'Add the carrot. Cook and stir for 1 minute, until the carrot just starts to turn soft.', 'Add the noodles and sauce mixture. Toss with a pair of tongs until the sauce is mixed evenly.', 'Return the cooked egg to the pan and add the pepper. Mix everything well, for 1 minute or so. Transfer everything to serving plates and serve hot as a main.']","['Serving: 1serving', 'Calories: 302kcal', 'Carbohydrates: 22.4g', 'Protein: 25.1g', 'Fat: 12.2g', 'Saturated Fat: 2.7g', 'Cholesterol: 233mg', 'Sodium: 645mg', 'Potassium: 424mg', 'Fiber: 2.4g', 'Sugar: 3.9g', 'Calcium: 92mg', 'Iron: 2mg']"
